job_id,title,company_name,location,description,max_salary,formatted_experience_level,work_type,remote_allowed,original_listed_time
sample_00000,ML Engineer,Accenture,"Gurugram, Haryana","Seeking a ML Engineer skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",6-10 LPA,Senior,CONTRACT,0,2026-05-31
sample_00001,Data Analyst,Swiggy,"Delhi, Delhi","We are looking for a Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",8-14 LPA,Director,FULL_TIME,0,2026-04-05
sample_00002,BI Developer,Accenture,"Hyderabad, Telangana","Join our analytics team as a BI Developer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",8-14 LPA,Director,PART_TIME,1,2026-05-09
sample_00003,Senior Data Analyst,Razorpay,"Chennai, Tamil Nadu","We are looking for a Senior Data Analyst with expertise in Python, SQL, Tableau, and Power BI. Experience with AWS and data pipelines is a plus. Strong communication and Excel skills required.",5-8 LPA,Mid-Senior level,CONTRACT,0,2026-01-22
sample_00004,Analytics Engineer,TCS,"Delhi, Delhi","We need a Analytics Engineer proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",25-40 LPA,Director,CONTRACT,0,2026-03-12
sample_00005,ML Engineer,Flipkart,"Chennai, Tamil Nadu","Exciting ML Engineer role — must know SQL, Python, Git, Docker. Experience with Kafka or Spark is highly desirable.",5-8 LPA,Mid-Senior level,FULL_TIME,1,2026-03-27
sample_00006,Product Analyst,Infosys,"Bengaluru, Karnataka","We need a Product Analyst proficient in R, Python, A/B testing, statistics, Excel, and business intelligence tools like Power BI.",10-18 LPA,Entry level,PART_TIME,0,2026-04-30
sample_00007,Data Analyst,Meesho,"Noida, Uttar Pradesh","Seeking a Data Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",5-8 LPA,Director,CONTRACT,0,2026-03-02
sample_00008,ML Engineer,TCS,"Hyderabad, Telangana","Join our analytics team as a ML Engineer. You will work with Looker, BigQuery, dbt, Airflow, and build dashboards in Tableau.",8-14 LPA,Entry level,FULL_TIME,1,2026-06-09
sample_00009,Data Analyst,Accenture,"Noida, Uttar Pradesh","Seeking a Data Analyst skilled in machine learning, pandas, scikit-learn, and deep learning. Must know SQL and Python.",25-40 LPA,Senior,CONTRACT,1,2026-03-28
